"File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"	"Quan Method"	"Max Mass in Da"
"F1"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw"	"5/17/2020 4:34:06 PM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"5601.98291"
"F2"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw"	"5/17/2020 1:31:07 PM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"5601.97949"
"F3"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw"	"5/17/2020 10:27:47 AM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"6116.63037"
"F4"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S18.raw"	"5/17/2020 7:24:58 AM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"5601.96777"
"F5"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S16.raw"	"5/17/2020 3:54:29 AM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"5601.98193"
"F6"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S14.raw"	"5/17/2020 12:52:02 AM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"5600.95801"
"F7"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S23.raw"	"5/16/2020 9:49:18 PM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"5600.58789"
"F8"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S21.raw"	"5/16/2020 6:47:12 PM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"5698.36279"
"F9"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S19.raw"	"5/16/2020 12:50:04 PM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"5779.42139"
"F10"	"O:\Proteomics-Core-Lab-Data\Lab-PC\MassSpec\Data\Bio-Mass-MK\20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S17.raw"	"5/16/2020 9:47:56 AM"	"0.00 - 160.00"	"Orbitrap Exploris Slot #0085"	"1.1-1.1.75.28/1.1.117.26"	"TMTpro 16plex UK292954"	"5714.69092"
