File Name	Plate	Sample
20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	500ms	1
20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S3.raw	500ms	3
20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S5.raw	500ms	5
20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S7.raw	500ms	7
20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S9.raw	500ms	9
20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S11.raw	500ms	11
20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S2.raw	500ms	2
20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S4.raw	500ms	4
20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S6.raw	500ms	6
20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S8.raw	500ms	8
20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S10.raw	500ms	10
20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S12.raw	500ms	12
20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S13.raw	500ms	13
20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S15.raw	500ms	15
20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S17.raw	500ms	17
20200515_MK_ES_E1200_precol_scMS_500ms_8227_P5_S19.raw	500ms	19
20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S21.raw	500ms	21
20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S23.raw	500ms	23
20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S14.raw	500ms	14
20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S16.raw	500ms	16
20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S18.raw	500ms	18
20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20
20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22
20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24
