	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
B	127N	129C	128C	133C	130N	132N	129N	127N	131N	132C	130C	131N	134N	130N	129C	130C	133N	128C	133C	131C	132N	133C	134N	133N
C	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
D	128N	132N	132C	128C	128N	129N	130C	131N	130N	131C	128N	133N	132N	129C	127N	129C	128C	134N	131C	129N	131N	132C	133N	127N
E	129C	128N	132N	130N	129N	133C	131N	128N	131C	130C	133N	132N	130N	127N	133C	128C	129C	132C	128C	132C	129N	131C	130C	131N
F	131C	127N	129C	130C	133C	130N	132N	128C	133N	129N	131C	127N	131N	130C	130N	128N	132C	129C	129N	128C	132C	133N	127N	132N
G	128C	131N	133N	129N	129C	131N	131C	130N	130C	127N	132C	130C	133N	132N	128C	127N	134N	129N	129C	132N	131C	130N	132C	133C
H	132C	131C	127N	129C	132N	130C	128C	129N	129N	133N	131N	131C	133C	128C	128N	133C	130C	132N	132C	133N	130N	127N	128N	130N
I	131N	133C	129N	132C	130C	134N	128N	132N	128C	133C	132N	129C	127N	131N	133N	130N	128N	131C	133N	129C	128C	129N	131C	132C
J	133C	128C	130N	131N	132C	129C	130N	131C	127N	128C	133C	128N	130C	133N	130C	132C	129N	128N	127N	131N	133C	134N	129N	131C
K	130C	129N	128N	127N	131N	133N	134N	132C	132N	128N	128C	132C	129C	133C	131N	133N	130N	130C	132N	134N	129C	128C	133C	129N
L	133N	130N	130C	134N	131C	128C	129C	130C	132C	134N	127N	130N	131C	128N	132N	129N	132N	133N	131N	133C	128N	129C	128C	134N
M	129N	132C	134N	132N	128C	128N	127N	133N	133C	130N	129C	134N	132C	131C	129N	134N	131C	131N	130C	130N	127N	128N	131N	129C
N	132N	133N	131N	128N	134N	131C	132C	133C	134N	129C	129N	128C	128N	129N	132C	132N	127N	133C	130N	127N	130C	131N	129C	130C
O	134N	130C	133C	131C	133N	127N	133N	129C	128N	132N	130N	133C	129N	132C	134N	131C	131N	130N	134N	128N	134N	130C	132N	128C
P	130N	134N	131C	133N	127N	132C	133C	134N	129C	131N	134N	129N	128C	134N	131C	131N	133C	127N	128N	130C	133N	132N	130N	128N
