	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
B	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST
C	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
D	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST
E	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST
F	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST	BLAST
G	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG
H	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG
I	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG
J	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG
K	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG	PROG
L	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC
M	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC
N	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC
O	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC
P	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC	LSC
