File ID	Channel	File Name	Plate	Sample	Row	Column	Well	Sorted Population	Time	FSC-A	FSC-W	FSC-H	SSC-A	SSC-W	SSC-H	CD38 PE-A	CD34 APC-Cy7-A	Gated Population	Gate Path
F1	126	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24															
F1	127N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	D	24	D24	BLAST	-1.4776901	-0.26053002	-0.25701264	-0.07315944	-1.9599246	-0.69631827	-2.036291	-0.5649368	-1.2356125	BLAST	BLAST
F1	127C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24															
F1	128N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	P	24	P24	LSC	1.4812073	0.70924443	0.13718936	0.7864187	0.5405853	0.3342905	0.4972022	-0.8286397	1.6484103	LSC	LSC
F1	128C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	O	24	O24	LSC	1.4715462	-1.4874327	-0.63141704	-1.2899101	-0.07039823	1.8049059	-0.9051056	-0.90343595	1.0060059	LSC	LSC
F1	129N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	K	24	K24	PROG	0.49945515	-0.45211235	-1.2923824	0.7531524	-1.3699347	-0.38935316	-1.4672617	1.125147	0.8415968	PROG	PROG
F1	129C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	M	24	M24	LSC	0.9887344	-1.0642667	-1.0427514	-0.30719948	-1.0265467	-1.3496113	-0.617925	-0.85920656	-0.28096882	LSC	LSC
F1	130N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	H	24	H24	PROG	-0.49303728	-1.3442167	-0.79061127	-0.9363282	-0.18165015	-1.5855399	0.5011219	0.69040644	0.57829976	PROG	PROG
F1	130C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	N	24	N24	LSC	0.99818367	0.17542282	0.14362821	0.080603145	0.39416867	0.5530411	0.22240432	-0.8390965	1.6461163	LSC	LSC
F1	131N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	E	24	E24	BLAST	-1.0035303	0.94249517	1.6499434	-0.483927	0.82416296	0.45730057	0.78148353	0.5598234	-1.4054039	BLAST	BLAST
F1	131C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	J	24	J24	PROG	0.019019304	-0.9643212	-0.18273938	-1.0725408	-0.4034769	-1.2197927	0.06988296	0.3317333	-0.09452739	PROG	PROG
F1	132N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	F	24	F24	BLAST	-0.99392986	0.41098842	0.49072284	0.027705453	0.8611231	0.3121911	0.8914654	-0.73501027	-1.4304144	BLAST	BLAST
F1	132C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	I	24	I24	PROG	0.0074818083	0.8308653	0.9110301	0.14012268	1.0475253	0.95449626	0.82415885	1.0244488	0.40235466	PROG	PROG
F1	133N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	B	24	B24	BLAST	-1.4900651	-0.81651795	-1.0736783	0.049151197	-1.1235871	-1.6041372	-0.61862856	-0.1967124	-1.3508836	BLAST	BLAST
F1	133C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	G	24	G24	PROG	-0.5047767	0.9375456	1.7934626	-0.6402115	0.76060575	0.3708777	0.7444191	1.5923187	0.17142336	PROG	PROG
F1	134N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S24.raw	500ms	24	L	24	L24	LSC	0.5086519	0.9765683	0.35491878	0.90996045	-0.06062923	0.15940021	-0.14467233	-0.7781093	1.1542625	LSC	LSC
F2	126	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22															
F2	127N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	H	22	H22	PROG	-0.47317076	1.7285733	0.9572876	1.2682931	0.86738956	1.0559795	0.5621165	1.6571217	0.6442081	PROG	PROG
F2	127C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22															
F2	128N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	M	22	M22	LSC	0.96717775	-0.15023483	-0.45599508	0.27837187	-0.45822626	-0.60915047	-0.27271873	-0.8251215	0.416102	LSC	LSC
F2	128C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	K	22	K22	PROG	0.47991148	2.2949853	1.6609434	1.2783858	1.9029384	2.1343594	1.3159311	1.2934182	1.1009209	PROG	PROG
F2	129N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	I	22	I22	PROG	-0.013383446	0.053164616	0.42361054	-0.37130657	0.30073074	0.25192285	0.24688238	1.2730336	0.01934502	PROG	PROG
F2	129C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	L	22	L22	LSC	0.52789295	1.1074036	1.1747895	0.22784445	1.1601839	-0.016910639	1.3985124	-0.84281385	-0.10951208	LSC	LSC
F2	130N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	G	22	G22	PROG	-0.52679247	-1.6426609	-0.13648146	-2.0101187	-0.42163536	-0.8367293	-0.12556325	0.42462733	0.6058741	PROG	PROG
F2	130C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	O	22	O22	LSC	1.4523557	-0.3007459	-1.0211749	0.66923004	0.2048856	0.3141237	0.10369054	-0.86054564	1.2839186	LSC	LSC
F2	131N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	N	22	N22	LSC	1.0174297	1.0383828	-0.04834402	1.4101353	1.0500782	-0.5329001	1.4997164	-0.8176325	1.878084	LSC	LSC
F2	131C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	E	22	E22	BLAST	-1.0227712	-0.08281098	-1.0594733	0.99403703	-0.018202279	-0.37236613	0.14749481	-0.7425088	-1.1695834	BLAST	BLAST
F2	132N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	P	22	P22	LSC	1.5005288	-0.6074629	-0.009083684	-0.7859997	-0.18068843	-0.6933587	0.09824083	-0.8175351	0.21368852	LSC	LSC
F2	132C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	D	22	D22	BLAST	-1.4558561	-0.7643633	-0.7664835	-0.20232235	-1.2082536	-1.005852	-0.9921732	-0.7469322	-1.4292774	BLAST	BLAST
F2	133N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	F	22	F22	BLAST	-0.97578865	-0.69705	-1.2458494	0.38449627	-1.1831199	-1.8271644	-0.588689	-0.43726963	-1.3940383	BLAST	BLAST
F2	133C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	B	22	B22	BLAST	-1.5113796	-1.5940152	-0.3514683	-1.7217654	-0.045874707	0.015972659	-0.06186022	1.4921453	-1.369046	BLAST	BLAST
F2	134N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S22.raw	500ms	22	J	22	J22	PROG	0.038790237	-0.47299492	-0.5023615	-0.09588388	-0.2586676	-0.53455544	-0.06726272	2.0646062	0.3842256	PROG	PROG
F3	126	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20															
F3	127N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	N	20	N20	LSC	1.0388501	0.38913736	-0.96746856	1.515562	-0.91734064	-0.18453485	-1.0168399	-0.81780094	1.5310851	LSC	LSC
F3	127C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20															
F3	128N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	O	20	O20	LSC	1.4308647	-0.55594426	-0.39851606	-0.31264	0.21346536	0.4151878	0.06812625	-0.83061486	1.2704321	LSC	LSC
F3	128C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	F	20	F20	BLAST	-0.95447415	-0.32693887	-1.3724142	0.9999345	-1.8770438	-1.6338708	-1.5086427	-0.7902631	-1.1163707	BLAST	BLAST
F3	129N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	D	20	D20	BLAST	-1.43661	-1.3321207	-1.8465668	0.17869045	-0.9931182	-1.1050477	-0.6889711	-0.7991876	-1.3157417	BLAST	BLAST
F3	129C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	I	20	I20	PROG	-0.032442946	0.2539335	0.08395247	0.24557868	0.7156132	0.6382051	0.5693888	0.22764857	0.69122463	PROG	PROG
F3	130N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	M	20	M20	LSC	0.9480428	-1.2566103	-0.44671175	-1.1801786	0.3050634	-0.42337185	0.5580527	-0.8183993	1.1296833	LSC	LSC
F3	130C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	P	20	P20	LSC	1.5198759	0.5773775	0.22470003	0.5226817	1.154514	-0.2450866	1.4947791	-0.79352707	1.3927475	LSC	LSC
F3	131N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	J	20	J20	PROG	0.058455095	1.5333034	0.9455271	1.0247202	0.20144913	-0.029214375	0.25528714	1.127928	-0.41654712	PROG	PROG
F3	131C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	B	20	B20	BLAST	-1.5305551	0.6335863	1.2202709	-0.44095686	0.8211619	0.6785927	0.67766863	0.67828476	-1.3361381	BLAST	BLAST
F3	132N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	G	20	G20	PROG	-0.5465531	-1.0196009	-0.46558774	-0.85000557	-1.2911928	0.21292488	-1.6475633	1.9898413	0.21708305	PROG	PROG
F3	132C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	E	20	E20	BLAST	-1.044131	-1.4356419	-2.060131	0.2653643	-1.9077725	-1.962035	-1.3959634	-0.77085096	-1.1395884	BLAST	BLAST
F3	133N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	H	20	H20	PROG	-0.45219934	-1.1102331	0.14063403	-1.6013564	-0.17576593	-0.3222166	-0.06419071	0.9753551	-0.3502552	PROG	PROG
F3	133C	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	L	20	L20	LSC	0.54723984	0.76127625	-0.22230752	1.2282997	0.44305238	-0.98322195	0.97655106	-0.80412024	1.4472543	LSC	LSC
F3	134N	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S20.raw	500ms	20	K	20	K20	PROG	0.4597826	-0.44869143	-0.40763065	-0.16270405	-1.150983	-0.28904837	-1.2499039	-0.10865789	0.27121377	PROG	PROG
F4	126	20200516_MK_ES_E1200_precol_scMS_500ms_8227_P5_S18.raw	500ms	18															
